gender,age,days_diff,max_date_income,offer_id_count,amount_count,amount_mean,reward_count,reward_mean,xid-0b1e1539f2cc45b7b9fa7c272da2e1d7,xid-2298d6c36e964ae4a3e7e9706d1fb8c2,xid-2906b810c7d4411798c6938adc9daaa5,xid-3f207df678b143eea3cee63160fa8bed,xid-4d5c57ea9a6940dd891ad53e9dbe8da0,xid-5a8bc65990b245e5a138643cd4eb9837,xid-9b98b8c7a33c4b65b9aebfe6a799e6d9,xid-ae264e3637204a6fb9bb56bc8210ddfd,xid-f19421c1d4aa40978ebb69ca19b0e20d,xid-fafdcd668e3743c1bb461111dcafc2a4
M,40.0,747,38629.41877383508,11,14,2.924285714285714,1,5.0,0,0,0,0,0,1,1,1,1,0
F,69.0,711,66218.98199486577,16,14,15.249285714285715,4,7.5,0,0,0,1,1,1,1,1,0,0
M,56.0,1537,94027.5182358383,7,9,18.630000000000003,2,3.5,1,0,0,0,0,1,0,0,0,1
F,26.0,348,67796.54810063055,8,21,3.494285714285714,2,2.5,0,1,0,0,0,1,0,0,0,1
M,75.0,987,49253.99807113673,11,10,15.553,4,3.0,0,1,1,0,0,0,0,0,1,0
F,20.0,745,35102.84728619974,3,10,2.989,0,,1,0,0,0,0,0,0,1,0,0
M,45.0,19,33132.46948088009,13,8,7.65625,3,6.0,0,1,0,1,1,0,1,0,0,0
M,61.0,247,103239.13167180338,13,8,29.30375,4,5.0,0,1,1,0,1,0,1,0,1,0
F,69.0,1772,53760.981517778666,9,12,2.7266666666666666,1,5.0,1,1,0,0,0,0,1,1,0,0
F,54.0,534,89534.29104928556,14,9,27.711111111111112,3,5.666666666666667,0,0,0,1,1,1,1,0,1,1
M,39.0,1521,70283.12866585856,9,14,3.7078571428571427,1,5.0,1,0,0,1,1,1,0,0,1,0
F,41.0,1039,51041.93086421909,9,18,3.472777777777778,3,3.3333333333333335,0,1,1,0,0,0,1,1,0,0
F,79.0,1198,61793.730281924145,8,15,10.133333333333333,2,6.0,0,0,1,0,0,0,1,1,0,0
F,66.0,109,38883.46305550954,9,5,11.216,1,5.0,0,0,0,0,1,1,1,1,0,0
F,56.0,395,56516.36966325693,6,7,12.444285714285714,2,4.0,1,1,0,0,0,0,0,0,0,0
F,39.0,1464,76251.66596342518,11,13,11.556153846153848,3,3.3333333333333335,0,1,1,0,0,1,1,0,0,0
M,42.0,921,116575.95534039916,12,12,26.706666666666667,4,5.0,1,1,1,0,1,0,0,0,0,0
F,78.0,655,106773.27518507042,15,8,28.193749999999998,5,6.4,1,0,0,0,1,0,0,1,1,1
M,45.0,293,51058.94226072331,6,6,2.8333333333333335,0,,1,0,0,1,0,0,0,1,0,1
M,29.0,817,59399.70299503384,7,12,3.1808333333333336,1,5.0,1,0,1,0,0,1,0,0,0,1
M,44.0,305,37324.7995335801,12,18,8.34611111111111,4,3.25,0,1,0,0,0,0,0,0,1,1
M,63.0,13,56153.710948558175,9,9,13.513333333333334,3,4.666666666666667,0,0,1,0,0,0,0,1,0,1
M,36.0,210,58535.33833197263,7,7,16.97857142857143,2,4.0,1,1,0,0,0,1,0,0,0,0
F,76.0,134,48346.88492219368,9,6,3.775,1,3.0,1,1,0,1,1,0,0,0,0,0
M,68.0,337,93406.90754649985,15,8,22.1475,5,5.0,0,1,1,0,1,0,0,0,1,0
M,75.0,970,63801.09294814523,8,11,12.32181818181818,2,3.5,0,0,1,0,0,1,1,0,0,0
M,67.0,515,84717.50124194314,14,12,16.731666666666666,4,3.25,0,1,0,0,0,1,0,0,1,1
M,77.0,726,59436.249806016465,9,11,2.1645454545454546,0,,1,0,0,0,1,1,0,0,1,0
M,76.0,1425,86431.08766591574,6,8,13.865,1,2.0,0,0,1,0,0,1,0,1,0,0
M,57.0,169,101555.0986438693,5,1,27.24,2,7.5,1,0,0,0,0,0,1,1,0,0
F,53.0,750,84335.69845930564,15,9,18.653333333333332,5,5.4,0,1,1,0,1,1,0,1,0,0
F,53.0,572,131997.2876943978,14,10,30.32,5,7.4,0,0,0,0,1,0,1,1,0,1
F,53.0,273,58258.839205977856,9,8,2.5225,1,2.0,1,0,1,0,0,0,0,0,1,1
F,61.0,258,118261.55396037684,12,2,33.625,2,2.5,0,1,1,1,0,0,0,0,0,1
F,67.0,684,88945.89863756036,7,8,19.46625,1,2.0,0,0,1,0,0,1,0,0,1,0
F,58.0,182,88325.27890689007,12,15,19.361333333333334,4,3.5,1,0,0,0,0,0,0,0,1,1
F,46.0,27,36205.5328016866,8,5,3.4259999999999997,0,,0,1,0,1,0,0,0,0,0,1
M,30.0,236,43091.81958285461,4,4,2.9875,0,,0,0,0,0,0,1,0,1,0,0
M,59.0,340,95614.65532440785,12,2,22.700000000000003,2,7.5,1,1,0,1,0,0,0,1,0,0
M,51.0,938,49966.43099320558,13,20,3.7980000000000005,3,3.0,1,0,0,0,0,0,0,1,1,1
M,27.0,197,36484.44255974228,10,12,2.4633333333333334,1,2.0,1,0,0,0,0,1,0,0,1,1
M,40.0,149,54691.531841886186,7,5,1.634,0,,0,0,0,1,0,1,0,0,1,0
F,73.0,98,92899.94176209324,13,4,27.29,3,6.0,0,1,1,0,0,1,0,1,1,0
F,74.0,945,130592.8062151212,13,10,29.830000000000002,4,2.25,0,1,0,1,0,0,0,0,0,1
M,42.0,978,81115.02116901336,7,7,19.562857142857144,2,4.0,1,1,0,1,0,0,0,0,0,0
M,78.0,988,71433.35749360408,15,10,12.693999999999999,3,10.0,0,0,0,1,1,1,0,0,0,0
F,54.0,578,59869.3367295463,13,18,3.1683333333333334,2,2.0,0,0,0,0,1,0,0,1,0,1
F,70.0,43,74673.98235875994,6,0,,0,,0,1,0,0,0,0,0,0,1,0
F,49.0,474,62991.210149923136,13,10,18.478,3,6.0,0,1,0,0,0,1,1,1,0,0
F,62.0,107,58300.603781257596,5,0,,0,,1,1,0,0,0,0,1,0,0,0
M,64.0,508,77914.19391426544,12,9,15.593333333333334,4,5.0,1,1,0,0,1,0,0,0,0,1
F,89.0,254,91786.43953198215,11,9,27.625555555555554,4,3.25,1,1,1,0,0,0,0,0,0,0
M,73.0,116,52262.78156347177,10,9,2.6033333333333335,1,2.0,1,0,0,0,1,1,0,0,0,1
F,50.0,446,102170.14990936969,14,12,24.77416666666667,4,3.25,0,1,1,0,0,1,0,0,1,0
F,90.0,959,119961.9617721316,6,3,26.676666666666666,1,10.0,1,0,0,0,0,1,0,1,0,0
F,68.0,725,97874.3604836142,6,2,17.02,1,2.0,1,0,1,1,0,0,0,1,0,0
M,60.0,535,71642.53723123575,6,12,3.6783333333333332,1,5.0,0,0,0,1,0,0,1,0,1,0
M,45.0,345,58074.579869197005,8,6,1.9183333333333332,0,,1,0,0,1,1,0,0,1,0,1
M,66.0,914,59414.551980511584,16,18,11.162777777777778,5,4.6,0,1,1,1,1,0,0,0,1,0
F,19.0,649,83705.31682282247,10,11,18.431818181818183,2,3.5,1,0,0,1,0,0,1,0,0,1
F,66.0,160,59990.08852615652,12,10,16.353,3,6.0,0,1,0,1,0,0,1,1,0,0
F,72.0,714,83697.95683368511,17,12,16.826666666666664,6,6.666666666666667,0,1,0,0,1,0,0,1,1,1
M,76.0,840,75207.46894405095,14,13,17.28923076923077,4,3.5,1,0,0,1,0,0,0,0,1,1
M,52.0,437,85528.63429289956,12,6,19.653333333333332,4,8.0,0,0,1,0,1,0,0,1,0,0
M,55.0,228,32526.706770597444,7,5,6.145999999999999,1,5.0,0,0,0,1,1,0,1,1,0,0
F,39.0,310,64052.86347069888,11,12,58.791666666666664,3,5.666666666666667,0,0,1,0,1,1,0,0,1,0
F,45.0,912,53329.34863467665,13,16,10.231875,5,5.8,0,0,1,0,1,0,1,0,0,1
F,57.0,387,123692.44931242787,16,8,23.1025,5,6.4,0,0,0,1,1,0,0,1,1,1
M,74.0,14,48141.901995918066,4,3,2.2866666666666666,0,,0,1,0,0,0,0,1,0,0,0
M,18.0,729,54809.24213403546,15,22,12.527727272727274,5,4.0,0,1,1,0,1,0,0,1,0,1
M,53.0,302,102311.85450432119,14,5,27.768,4,3.25,0,1,1,0,0,0,0,1,1,0
F,59.0,319,104818.39906783594,7,4,28.009999999999998,3,2.0,0,0,1,0,0,0,0,0,0,0
M,57.0,1360,61276.74114587617,8,10,3.4219999999999997,1,2.0,0,0,0,1,1,0,0,0,0,1
F,51.0,347,60250.89294087103,11,7,5.848571428571428,2,4.0,0,1,0,0,0,1,1,0,0,0
F,64.0,279,39241.92408947501,13,7,7.338571428571428,3,4.0,0,0,0,0,1,0,1,1,1,1
M,71.0,543,63914.35568667665,7,12,2.5116666666666667,0,,1,0,0,1,0,0,0,0,1,0
F,64.0,461,72737.53791511245,10,4,12.587499999999999,2,6.0,0,0,1,0,1,1,0,1,0,0
M,83.0,180,47779.409669359266,10,5,3.354,0,,0,1,0,0,0,1,0,1,1,0
M,26.0,227,74480.94486628396,8,4,3.4499999999999997,0,,0,1,1,0,0,1,1,1,0,0
F,29.0,127,59574.11906107643,11,12,2.54,1,3.0,0,1,0,0,0,1,0,1,0,1
M,43.0,314,74791.39383230351,7,1,2.03,0,,1,1,0,0,0,0,1,0,1,0
F,89.0,193,67699.69929785965,11,7,17.83142857142857,3,4.666666666666667,0,0,1,0,0,1,0,1,0,1
F,49.0,69,80157.75672875556,12,2,12.465,2,4.0,1,1,0,1,1,0,1,0,0,0
M,79.0,759,78628.1214351415,10,18,17.612777777777776,3,8.333333333333334,0,0,0,1,0,0,0,1,1,0
F,55.0,283,99779.81872370426,13,8,24.41875,3,5.0,0,1,0,1,0,1,0,1,0,1
M,55.0,235,69352.6946207437,10,19,14.327894736842106,2,10.0,0,0,0,1,0,0,0,1,0,0
M,45.0,292,32968.614639939624,7,5,3.2920000000000003,0,,1,0,0,0,1,1,0,0,1,0
M,52.0,177,31140.7800326126,6,5,1.9599999999999997,0,,1,0,0,1,0,0,0,0,1,0
M,39.0,843,65698.85925693718,11,9,17.39333333333333,4,7.5,0,0,0,0,1,0,1,0,1,0
M,77.0,24,69350.05616355897,7,3,20.083333333333332,1,5.0,1,0,0,0,1,1,0,0,0,0
M,66.0,17,60215.45512819229,10,6,5.1499999999999995,2,4.0,0,1,1,0,0,1,1,1,0,0
F,69.0,302,92720.11814454109,10,2,26.605,2,5.0,1,0,0,0,0,0,1,0,1,0
M,74.0,1436,71741.94805243169,5,4,13.782499999999999,1,2.0,0,0,0,0,0,0,0,1,0,1
F,75.0,14,87257.19736760149,14,5,22.94,3,3.3333333333333335,1,1,1,0,0,0,0,0,1,1
F,59.0,1051,106086.72123923559,15,7,27.58571428571429,4,3.0,0,1,1,0,0,1,0,0,1,1
M,47.0,1669,93837.72959046188,8,5,14.834,2,6.0,0,0,1,1,0,0,0,1,0,0
M,20.0,59,69863.74062116642,6,1,0.87,0,,1,1,0,0,0,0,1,0,1,0
M,60.0,456,118899.64470423141,10,4,31.82,2,3.5,0,1,0,0,0,1,1,0,0,1
M,65.0,133,62734.85551133816,9,6,4.000000000000001,2,2.5,0,1,0,1,0,0,0,0,0,1
M,33.0,1192,55286.8949454537,6,8,2.4725,1,2.0,1,0,1,0,0,0,0,0,0,1
F,39.0,221,70195.97325927783,11,11,51.16090909090909,1,2.0,0,0,0,1,0,1,0,0,0,1
M,49.0,54,59675.61398285975,6,6,6.376666666666666,1,5.0,0,0,1,1,0,0,0,0,1,0
M,68.0,169,60104.03797290224,10,2,8.595,0,,1,1,0,0,0,1,0,1,0,1
M,42.0,532,89496.54201064566,7,3,17.913333333333334,1,10.0,0,0,0,1,1,1,0,0,0,0
M,72.0,55,33384.92432860768,9,5,1.6280000000000001,0,,1,0,1,0,1,0,1,0,1,1
F,18.0,428,53627.662469629664,10,10,3.0469999999999997,2,3.0,1,1,1,0,0,0,1,0,0,0
F,32.0,28,42248.695558573076,5,7,10.17,2,5.0,0,0,0,0,0,0,1,0,1,0
M,67.0,332,53625.56562815123,11,3,11.023333333333333,1,3.0,0,1,1,1,1,1,0,0,0,0
M,52.0,22,42195.27997987461,7,3,1.8,0,,1,1,0,0,0,1,0,0,0,0
M,38.0,280,67892.23646548502,8,9,16.77111111111111,3,8.333333333333334,0,0,0,0,0,0,1,1,0,0
F,60.0,132,79173.20397812942,16,5,21.382,4,4.25,0,1,1,0,1,0,0,1,0,1
F,62.0,216,80587.97864250558,10,2,16.73,2,7.5,0,0,0,1,1,0,1,0,1,1
F,55.0,18,51193.93007215563,9,2,12.95,1,5.0,1,0,1,0,0,1,1,0,0,0
M,22.0,89,64193.410760468236,10,6,3.3000000000000003,0,,0,0,0,0,1,1,0,1,1,1
M,34.0,232,43055.490890733476,9,11,10.764545454545454,2,6.0,1,0,1,0,1,0,0,0,0,1
M,46.0,1320,79254.91448922319,12,26,4.060769230769231,3,4.0,0,0,0,0,0,0,1,1,1,1
M,85.0,0,67000.0,6,5,4.436,1,3.0,1,1,0,0,0,0,0,0,0,1
F,51.0,497,94390.91071677938,11,8,22.5,3,4.333333333333333,1,1,0,1,0,1,1,0,0,0
F,53.0,820,101043.39053440408,13,8,22.13625,4,5.5,1,0,0,0,0,1,1,1,0,1
M,51.0,715,106969.94175386052,15,15,22.061333333333334,5,3.8,1,0,0,0,0,0,0,0,1,1
M,48.0,1151,56085.67760114147,11,18,3.232222222222222,2,2.5,1,1,1,0,1,0,0,1,0,0
M,52.0,51,72778.42705010265,15,3,22.016666666666666,3,4.0,1,0,1,0,0,1,1,0,0,0
M,62.0,873,63711.54942360556,10,10,12.556000000000001,3,7.333333333333333,0,0,1,1,0,0,0,1,0,0
M,42.0,123,63628.99111632399,6,4,3.0300000000000002,0,,1,0,1,1,0,0,0,0,0,1
M,55.0,274,68865.8744133993,6,7,2.3842857142857143,0,,0,0,0,1,1,0,0,1,0,0
F,27.0,1045,62325.05553484015,10,8,11.2225,2,10.0,0,0,0,0,1,1,0,0,1,0
M,68.0,57,108293.74628900786,9,8,31.715,2,4.0,1,1,0,1,0,0,0,0,0,1
F,74.0,218,86904.20154619221,4,1,25.69,1,5.0,0,0,0,0,0,0,1,0,1,0
M,77.0,1384,88364.83901672997,14,26,3.351153846153846,5,3.4,1,1,1,0,0,0,0,0,0,1
M,35.0,189,74927.2152255941,13,14,18.68285714285714,5,5.4,1,0,1,0,1,0,0,0,1,0
F,50.0,260,72888.295323437,13,10,18.496000000000002,3,4.666666666666667,0,0,1,1,0,1,0,1,0,1
M,45.0,1003,116138.04263064858,11,6,27.151666666666667,2,7.5,1,0,0,1,0,0,0,1,0,0
M,82.0,572,98151.82931121888,4,8,19.455,0,,0,0,0,1,0,0,0,0,0,0
M,40.0,1677,81178.49341991778,9,4,19.987499999999997,1,3.0,0,1,0,1,0,1,0,0,0,0
M,66.0,39,34280.742698606395,5,4,2.65,0,,0,0,0,0,0,1,1,0,1,0
M,52.0,106,64423.92408620986,5,2,3.09,0,,0,1,0,1,0,0,0,0,0,1
F,57.0,849,106447.28221683191,12,9,25.186666666666667,4,5.0,1,1,0,0,0,0,0,1,0,1
M,68.0,757,80941.08913144459,10,9,15.892222222222223,3,5.0,1,0,0,0,0,1,0,0,0,0
M,21.0,145,53614.37824097263,9,5,2.7960000000000003,1,5.0,1,1,0,0,0,0,1,0,1,0
M,61.0,345,47320.02804156793,11,8,2.2125,2,2.5,0,1,1,0,0,0,1,0,0,1
F,58.0,131,55512.358992214366,7,6,3.5833333333333335,0,,1,0,1,0,1,0,0,0,0,1
F,67.0,42,54480.33645632689,7,7,2.4828571428571427,0,,0,0,1,0,0,1,0,1,1,0
M,24.0,529,68197.96057287564,9,10,15.542000000000002,2,7.5,1,0,1,1,1,0,0,0,1,0
M,26.0,251,36902.22899279661,8,4,2.525,0,,1,0,1,0,0,0,0,0,1,1
F,71.0,231,110240.81507168945,11,9,23.58555555555556,4,3.75,1,1,1,0,0,0,0,0,1,0
F,69.0,226,67123.5984704595,13,9,16.276666666666667,4,5.5,0,0,1,1,0,0,1,1,0,0
M,81.0,84,94661.85069159673,12,0,,0,,1,0,0,1,1,1,0,0,0,1
M,62.0,842,87181.91966980236,13,11,21.10818181818182,3,6.666666666666667,0,0,0,1,0,1,1,1,0,0
M,38.0,382,80206.98623074919,3,8,99.59625,1,2.0,0,0,0,0,0,0,0,0,0,1
M,61.0,303,87409.80432621982,5,3,20.883333333333336,1,5.0,1,0,0,0,0,1,1,0,0,0
F,52.0,351,99067.12868145945,11,1,23.59,2,7.5,1,0,0,0,1,0,0,1,1,0
M,50.0,213,73215.47119266939,11,10,21.866999999999997,3,4.0,0,0,0,1,0,0,0,0,1,1
M,54.0,525,131812.704858157,13,7,26.515714285714285,3,10.0,0,0,0,0,1,1,0,1,1,0
F,75.0,85,110971.15653024465,6,2,18.52,2,5.0,0,0,0,0,0,0,1,0,1,0
M,82.0,129,75012.84539133283,10,8,4.5375,1,3.0,1,1,0,1,0,0,1,1,0,0
M,64.0,6,38048.10471672447,9,5,2.1079999999999997,0,,0,1,1,1,0,0,1,0,0,1
F,54.0,1024,122858.39962560267,14,7,23.31142857142857,3,6.0,0,1,0,1,0,0,0,1,1,0
M,82.0,199,75085.36755815872,8,3,5.4766666666666675,2,3.5,1,0,0,0,0,0,1,0,1,1
M,90.0,78,45746.210552389704,7,5,2.152,1,5.0,0,0,0,1,0,0,1,0,0,1
F,34.0,100,68427.70839815732,8,7,2.7228571428571433,0,,0,1,0,1,0,1,1,1,0,0
M,44.0,8,53089.476763280196,7,6,11.553333333333335,1,10.0,0,0,0,1,1,0,0,0,1,0
F,79.0,15,106335.78567493848,6,0,,0,,1,1,0,0,0,1,0,0,0,0
F,58.0,572,107177.2848800666,10,11,29.184545454545454,3,8.333333333333334,1,0,0,1,1,0,0,1,0,0
F,47.0,933,90088.28783912823,7,14,18.19214285714286,2,7.5,0,0,0,0,0,1,1,1,0,0
F,60.0,251,62206.61458785714,10,7,3.5142857142857147,1,5.0,0,0,1,1,0,1,1,1,1,0
M,83.0,353,58172.623745339515,9,13,12.676153846153845,2,3.5,0,0,0,1,0,1,0,0,1,1
F,74.0,70,104531.51866570303,9,0,,0,,0,1,1,0,1,0,1,0,0,0
M,89.0,1043,125843.53222606983,8,5,32.104,1,3.0,0,1,0,1,0,1,0,0,0,0
M,68.0,873,74530.49177855745,12,9,15.811111111111112,4,3.0,0,1,0,0,0,0,0,0,1,1
F,63.0,241,115734.14856653819,10,5,20.534,3,4.0,1,0,1,0,0,0,1,0,1,1
F,40.0,20,51215.523327056944,8,5,14.440000000000001,0,,1,0,1,0,0,1,0,0,1,0
F,79.0,221,103722.40824878366,8,7,23.12142857142857,1,2.0,0,0,1,0,0,1,0,0,1,0
M,71.0,127,30814.19951434988,4,5,2.498,0,,1,0,1,0,0,1,0,0,0,0
F,76.0,1054,142371.0436200275,14,7,26.16857142857143,4,8.0,0,0,1,0,1,0,0,1,0,0
M,89.0,789,113376.09330159653,14,6,23.421666666666667,4,7.0,1,1,0,0,1,1,0,1,0,0
M,63.0,362,38855.41398002502,11,6,2.026666666666667,1,3.0,0,1,1,1,0,0,1,1,0,0
M,41.0,307,88550.43026452753,10,0,,0,,1,0,1,1,0,0,0,0,0,1
F,71.0,109,57301.94555548775,17,10,16.416,6,3.6666666666666665,0,1,1,0,0,0,1,0,1,1
M,44.0,288,38253.855886996964,10,6,3.5933333333333337,1,3.0,0,1,1,1,0,0,0,0,0,1
M,25.0,841,87163.53911093195,3,10,6.987,1,5.0,1,0,0,0,0,0,0,0,0,0
M,27.0,121,71808.89501016476,6,5,2.6580000000000004,0,,1,0,0,0,1,0,1,1,0,0
M,67.0,164,109729.56619194118,10,6,28.645,1,5.0,1,0,1,0,1,1,0,0,0,0
F,77.0,888,96473.01765079061,17,10,22.236,5,4.4,1,0,1,1,0,0,1,0,1,0
F,68.0,940,80467.69338583783,15,10,14.528,5,4.2,0,0,1,0,1,0,1,0,0,1
M,37.0,827,76192.10328400446,12,16,16.335625,3,4.333333333333333,1,1,0,1,0,1,1,0,0,0
M,55.0,855,71853.05749136742,5,6,2.555,0,,1,0,0,0,0,0,0,0,1,0
M,30.0,691,62469.7784067234,17,20,35.0235,5,4.2,0,1,0,0,1,1,0,0,0,1
M,51.0,1076,67752.47420948122,15,19,13.275263157894736,4,3.0,0,1,1,0,0,1,1,0,1,1
F,47.0,14,92271.97882550962,9,2,33.075,1,3.0,0,1,0,0,0,1,1,1,0,0
M,49.0,172,49772.7469242453,10,8,2.4050000000000002,1,3.0,0,1,0,1,0,1,0,1,0,1
M,32.0,1022,47137.88710996337,14,18,9.575,3,8.333333333333334,0,0,0,0,1,1,1,0,0,0
M,30.0,464,76091.90684895912,9,8,20.97375,3,3.0,1,0,1,0,0,1,0,0,0,1
M,47.0,516,95884.75625642447,11,11,21.95909090909091,3,5.0,0,1,0,1,0,0,0,1,0,1
M,34.0,549,38172.61465112374,11,12,7.4025,3,5.0,0,0,0,0,0,1,1,0,1,0
F,78.0,417,110282.56784803528,7,5,37.458,3,6.666666666666667,1,0,0,0,1,0,0,0,0,0
F,85.0,876,85403.43955199276,11,15,18.278000000000002,2,3.5,0,0,0,1,0,1,0,0,1,1
F,75.0,1815,101170.09291304872,16,8,15.2325,4,5.5,1,0,1,0,0,1,1,1,1,0
F,76.0,502,78927.33863609201,14,14,17.15285714285714,5,4.8,0,0,0,0,0,0,1,1,1,1
F,89.0,1100,74401.40515491374,8,4,14.129999999999999,2,4.0,0,1,0,0,0,1,1,0,0,0
M,58.0,178,72677.14259368957,13,6,5.068333333333333,2,3.5,1,0,0,0,1,0,0,1,1,1
M,23.0,269,51859.57221155814,13,22,3.4072727272727277,3,5.0,0,1,0,1,0,1,0,1,0,1
M,58.0,313,56615.83078663122,13,10,12.265,3,3.3333333333333335,1,1,0,0,0,1,1,0,0,1
F,64.0,1018,117745.368420168,12,7,25.71142857142857,4,4.5,0,1,0,0,0,0,1,0,1,0
M,72.0,320,41722.240824514796,13,10,9.614,4,6.25,0,0,0,0,0,1,1,1,1,0
F,66.0,349,77498.10817934092,14,6,18.975,4,6.0,0,0,0,0,1,0,0,0,0,1
F,49.0,351,73223.52989499176,8,6,2.4149999999999996,0,,1,0,1,0,0,0,0,1,1,0
M,43.0,469,78380.05884972637,6,10,20.45,2,3.5,0,0,1,0,0,0,1,0,0,0
M,58.0,9,39074.07937764828,7,5,1.0080000000000002,0,,1,0,1,0,0,0,0,1,0,0
M,43.0,354,81889.84639889648,13,9,17.462222222222223,3,5.0,1,0,0,1,0,1,1,0,0,0
F,56.0,484,96347.41523995753,9,11,20.314545454545456,3,4.0,1,0,1,0,0,1,0,0,1,0
F,69.0,283,125255.51712124576,7,2,27.05,1,5.0,0,0,1,0,0,1,1,1,0,0
O,60.0,160,97225.31588721919,14,6,142.95833333333334,4,5.5,1,0,1,0,0,0,1,1,0,1
M,81.0,785,82600.3727752109,10,9,17.104444444444443,3,3.3333333333333335,1,1,1,0,0,1,0,0,0,0
M,42.0,479,100670.99200768872,12,6,23.33,3,4.0,1,0,1,1,1,0,0,0,1,0
M,75.0,1293,93252.58036483386,6,17,2.9741176470588235,0,,0,0,0,0,0,1,0,1,0,0
M,62.0,180,75823.84577963535,11,7,3.89,1,5.0,1,0,1,0,1,0,1,1,0,0
F,55.0,812,64084.08227023797,15,14,15.747857142857143,5,3.8,1,0,1,0,0,0,1,0,0,1
M,65.0,288,41441.67721091338,14,8,10.302499999999998,4,5.0,1,1,0,0,0,0,1,1,0,1
M,52.0,514,51265.57173405294,10,10,14.163999999999998,2,3.5,1,0,1,0,1,0,1,1,0,0
F,30.0,284,42468.450950190534,13,8,13.848749999999999,3,5.0,0,0,0,1,1,0,1,0,1,0
F,74.0,1036,93310.34299105698,8,5,19.894,2,7.5,1,0,0,0,0,1,0,1,0,0
F,100.0,1063,78828.18262431795,10,14,15.544285714285715,2,3.5,0,0,0,0,0,1,0,0,1,1
F,26.0,489,44344.3880960426,12,14,43.60857142857143,5,5.0,1,1,1,0,1,0,0,0,0,0
F,56.0,850,63403.321897097725,8,7,11.958571428571428,2,4.0,1,1,0,0,0,0,0,1,0,0
M,50.0,1380,120395.92195253137,14,3,33.193333333333335,2,3.5,1,1,0,1,0,0,1,0,1,1
M,73.0,291,101011.5505659893,9,3,23.813333333333333,2,2.0,0,0,1,1,0,0,0,0,0,1
F,49.0,228,77644.39680723261,8,4,25.1575,2,6.5,0,1,0,1,0,0,0,1,0,0
M,37.0,929,60819.147722104084,13,10,12.562000000000001,3,3.3333333333333335,0,1,0,0,0,0,0,1,1,1
M,65.0,895,68838.55343899253,13,22,14.000454545454545,3,5.0,0,1,0,1,0,0,0,1,0,1
F,64.0,882,97555.4336214441,14,9,21.087777777777777,3,7.333333333333333,0,0,0,1,1,0,0,1,0,1
